,Name,City,Cuisines,Average Cost,Aggregate Rating,Original Name
4889,2XJ8D_4889,Brunswick,"Chinese, Pizza, Desserts, Fast Food",10,3.3,Samosa Street
8450,clbzO_8450,South Bend,"Tea, Pizza, Italian, BBQ, Mediterranean, Seafood",10,3.9,Our Story Bistro & Tea Room
5198,h3RGZ_5198,Newark,"Tea, Bakery, American, Indian",10,2.2,Tunday Kababi
8371,YhWfC_8371,Dothan,"Desserts, Bakery, Fast Food, Chinese, American",10,0.0,Cheese Pizza
9063,wQhYn_9063,South Bend,"Tea, American, Seafood",10,2.7,Swaad
6660,bzH2m_6660,Decatur,"Tea, French, BBQ, Seafood",10,3.9,Anjlika Pastry Shop
484,Igfc1_484,Fort Smith,"Tea, Bakery",10,3.7,Jim's Burgers
987,RXxi5_987,Bakersfield,"Mexican, American, BBQ, Fast Food",10,0.0,Tmos Cafe Corner
6757,XSIRi_6757,Paducah,"French, Bakery, Desserts, Italian",10,3.6,Punjabi Dhaba
413,RxPaU_413,Brainerd,"Mexican, Indian, BBQ, Fast Food",10,4.1,El Herradero
4364,VUlvP_4364,Tallahassee,"Tea, Pizza, Bakery, Chinese, Seafood",10,2.3,Kerala Cafe
8923,rfiFx_8923,Chicago,"Pizza, Indian, Desserts, Seafood",10,2.4,Subway
1823,MC57f_1823,Pago Pago,"French, Bakery, American, Fast Food",10,3.0,Faasos
6756,EpG9y_6756,Madison,"Tea, Italian, BBQ, Mediterranean, Seafood",10,3.8,Nik's Kitchen
7926,Pl7L0_7926,Duluth,"Fast Food, Chinese, Seafood",11,0.0,Food Factory
7073,Jsiea_7073,St. Cloud,"Seafood, Cafe, Italian",11,3.9,Keventers
5324,nQt8C_5324,Melbourne,"Cafe, Pizza",11,3.2,Roll Club
6191,3lOzi_6191,Greer,"Desserts, French, Mexican, Bakery, Fast Food, Cafe",11,3.4,Pizza Break
790,Ro2dj_790,Belleville,"Pizza, Bakery, Desserts",11,4.1,Kylin Experience
5591,95qLC_5591,Pensacola,"Tea, Bakery, Fast Food",11,0.0,Jyoti Dhaba
8882,ZDCRW_8882,State College,"French, Chinese, Desserts, Fast Food",11,2.8,Rolling Beans
8553,6x9KT_8553,Spokane,"Pizza, Desserts, Seafood",11,3.0,Radhey Foodz
1553,giduf_1553,Nantucket,"Tea, French, Bakery, Cafe",11,3.5,Uforia
8331,5klRQ_8331,Bismarck,"Tea, Pizza, BBQ, Mediterranean",11,0.0,Cafe Treat
4116,PFlHB_4116,Erie,"Cafe, Italian, Bakery, BBQ, Chinese",11,3.3,Muradabadi Shahi Biryani & Chicken Corner
1729,hIgrm_1729,Staunton,"American, BBQ, Seafood",11,3.1,Captain's Table
4883,hczC0_4883,Oklahoma City,"Tea, Chinese, Bakery, Seafood",11,4.1,Baba Nagpal Corner
8935,27Lch_8935,Durango,"Tea, Mexican, BBQ",11,0.0,Yeoh
5598,dVsyq_5598,Prescott,"Tea, Chinese, Bakery",11,0.0,Om Shanti Foods
8408,mMBGl_8408,Bangor,"Desserts, Italian, Bakery, BBQ, Fast Food, Mediterranean",11,2.5,Nathu's Sweets
961,B4WDt_961,Jacksonville,"Desserts, Mexican, Bakery, BBQ, Fast Food",11,2.9,Ashoka Restaurant
4250,JnG7y_4250,Dayton,"BBQ, Desserts, Seafood",11,3.3,Subway
1997,zVHM5_1997,Abilene,"Tea, Pizza, French, Bakery, Fast Food",11,0.0,Biryani Express
1817,niVzL_1817,Long Beach,"Bakery, Indian, Cafe, BBQ",11,0.0,R S Foods
1516,37mTI_1516,Helena,"Fast Food, Mexican, BBQ, Seafood",11,2.8,Power Play Resto Bar
8147,jPgvJ_8147,Dallas,"Tea, French, Cafe, Indian, Seafood",11,2.8,Kolkata Biryani House
1632,YLfWK_1632,San Juan,"Cafe, Pizza, BBQ, Fast Food",11,4.1,Coldpress Company
8987,Rs5Tl_8987,Laramie,"Pizza, Italian, BBQ, Fast Food, Cafe",11,0.0,Domino's Pizza
3888,J3Uyu_3888,Nantucket,"French, Mexican, Pizza, Bakery",11,0.0,Aap Ki Khatir
3976,blYwF_3976,Brainerd,"Seafood, BBQ, Italian",11,4.1,Summer House Cafe
6568,cAj5i_6568,Idaho Falls,"Mexican, Pizza, Fast Food",11,3.0,Kay's Bar-Be-Que
8477,IsGQO_8477,Lewisburg,"Tea, Pizza, Fast Food, Cafe, Indian",11,0.0,Ahaar Udyan
6739,K2avQ_6739,Santa Maria,"Desserts, Mexican, Fast Food, American, Seafood",11,2.8,Punjabi Rasoi
3887,YBQJd_3887,Alpena,"Desserts, Pizza, Bakery, Fast Food, Indian",11,3.5,Sahni Fish Corner
8070,vUJol_8070,Waterloo,"Tea, Pizza, Desserts, Fast Food",11,4.1,Chili's Grill & Bar
1813,Fuis4_1813,Niagara Falls,"Desserts, Tea, French, Bakery, Fast Food, Chinese",11,0.0,Divine Bites
1081,p6zPC_1081,New Orleans,"Tea, Cafe, Bakery, Chinese, American",11,2.9,Gupha
6948,UNNoJ_6948,Little Rock,"Desserts, Italian, BBQ, Fast Food, Chinese",11,0.0,MK Tiffin Service
8888,GBdec_8888,Fort Dodge,"Desserts, Tea, French, BBQ, Indian",11,3.4,World Bites
8465,Y72br_8465,Melbourne,"Tea, Pizza, Indian, Seafood",11,2.3,Himalaya
1009,FSByW_1009,Kalamazoo,"Desserts, Italian, French, Bakery, Seafood",11,0.0,Tamasha In Tafree
2290,HwXqS_2290,Mission,"Cafe, Mexican, BBQ",11,3.6,Yo! China
9257,rjMle_9257,Asheville,"Pizza, French, BBQ, Fast Food, Chinese",11,4.3,Pizza Hut
8401,QPiXd_8401,Watertown,"Bakery, American, Cafe",11,2.8,Chandni Chowk Ke Mashhoor Paranthe
9439,CbhRC_9439,Albuquerque,"Desserts, Tea, Pizza, French, Seafood",11,3.7,La Parada
3809,z1LJy_3809,Niagara Falls,"Chinese, Pizza, Indian, BBQ",11,3.5,Tamura
2317,jJdn5_2317,Baton Rouge,"Chinese, Pizza, Bakery, BBQ",11,4.1,Sahib潴籹 Barbeque by Ohri潴籹
3779,3BJ1l_3779,Charleston,"Cafe, Seafood",11,3.6,Frosted Heaven
9011,7ihYL_9011,Hancock,"Tea, Cafe, Bakery, Fast Food",11,2.4,Bikaner's
3853,7mdSW_3853,Ogdensburg,"Pizza, Mexican, BBQ, Fast Food, Indian",11,0.0,Piper's & Grill - The Night Chef
8924,F5kDV_8924,Key West,"Desserts, Pizza, Italian, BBQ, Seafood",11,2.6,Chick Chicken Barbeque
8448,HbeXC_8448,Fairbanks,"Desserts, BBQ, Fast Food, Chinese, Indian, Seafood",11,3.8,Metro Dhaba
3290,ERY3E_3290,Lake Charles,"French, Bakery, Desserts",11,3.3,Kaveri
4628,2HhLV_4628,Harrisburg,"Chinese, Pizza, French, Bakery, BBQ, Cafe",11,4.0,Art of Spices
3250,l5yqf_3250,Iron Mountain,"Cafe, Bakery, Mediterranean",11,0.0,Ekta Restaurant
4715,GWRUs_4715,Hattiesburg,"Desserts, BBQ, Fast Food, Chinese, American",11,3.2,Supa's Restaurant
5130,VKloz_5130,Fayetteville,"Tea, American, BBQ, Italian",11,3.3,Chatorey Chacha
32,RPAK9_32,Portsmouth,"Desserts, Bakery, BBQ, Mediterranean, Seafood",11,3.1,Rovereto
34,X7J6k_34,Wrangell,"French, Bakery, Cafe, Desserts",11,4.3,Taco Pep
3521,7QgXI_3521,Toledo,"Desserts, Bakery, Fast Food, Indian, Seafood",11,3.2,Barista
2839,24d7P_2839,Santa Barbara,"French, Bakery, American, Seafood",11,3.2,Babu Ram Paranthe Wale
3298,eWUNh_3298,Charlotte,"Tea, Cafe, Desserts, Fast Food",11,3.4,Prince Snacks & Momo's Point
43,GLu2L_43,Corpus Christi,"Tea, Chinese, Bakery, Cafe",11,4.8,Confeitaria Colombo
2690,MRhH9_2690,Gustavus,"Mexican, American, Desserts, Fast Food",11,0.0,FFC Restaurant
2624,6iG7C_2624,Durango,"Desserts, Mexican, Bakery, BBQ, Fast Food",11,3.2,Burger King
5274,tKZG6_5274,Idaho Falls,"Tea, Cafe, BBQ",11,3.2,The Chef
5271,prBwa_5271,North Bend,"Chinese, Pizza, Bakery, Cafe, Mediterranean",11,2.8,Smoky Chettinad
7746,DNHiQ_7746,Brownsville,"Pizza, Italian, BBQ, Indian, Seafood",11,2.8,Go Kylin
7733,RK2P1_7733,San Juan,"Desserts, Pizza, Mexican, Fast Food, Cafe",11,3.3,Shree Bhagatram
6101,lgglw_6101,Punta Gorda,"Tea, BBQ, Bakery, Desserts",11,0.0,KGN Chicken Corner
7696,NFZzs_7696,Atlantic City,"Bakery, Pizza",11,2.9,The Yummy Chilli
681,EVcEj_681,La Crosse,"Chinese, Pizza, BBQ",11,3.5,Hot Stuff
4685,7JHIc_4685,White Plains,"Desserts, Tea, Italian, French, BBQ, Bakery",11,3.1,Chicken Chilli Corner
6077,TqsMj_6077,Omaha,"Chinese, Pizza, BBQ, Italian",11,0.0,Aggarwal Sweet India
9110,LPHdT_9110,Walla Walla,"French, Bakery, Indian, BBQ",11,0.0,Chillies Cafe
5175,06aOs_5175,Kalamazoo,"Tea, Chinese, BBQ, Cafe",11,3.6,Kolkata Kathi Roll
7318,Pi3ou_7318,Provo,"Tea, Seafood, Cafe, Fast Food",11,0.0,Street Cafe
3319,UThzj_3319,Amarillo,"Desserts, French, Fast Food, Cafe, American",11,3.8,Wood Box Cafe
7580,8Ox0y_7580,Johnstown,"Tea, Fast Food, Seafood",11,0.0,Ashoka's Ice Zone
7311,UkHQF_7311,Huntsville,"Bakery, BBQ, Seafood",11,2.6,Rainbows
2592,a26hs_2592,Atlantic City,"Tea, BBQ, Mediterranean",11,3.2,Cafe Coffee Day
7170,bk1Gi_7170,Montgomery,"Cafe, Bakery, Pizza, Italian",11,0.0,Sultan Chicken Corner
5725,FlGed_5725,Wichita Falls,"Cafe, Bakery, BBQ, Mediterranean",11,0.0,Bala Ji Rasoi
3142,pX5EE_3142,Iron Mountain,"Cafe, Pizza, BBQ",11,2.9,Chandrika
3200,CGqrb_3200,Long Beach,"Desserts, Pizza, Italian, French, Bakery, Cafe",11,3.3,Giani
5952,arKKk_5952,Detroit,"Tea, Cafe, Bakery, Desserts",11,3.2,N. Iqbal Restaurant
4599,90U50_4599,Pocatello,"Pizza, French, Bakery, BBQ, Cafe",11,3.6,Anjlika Pastry Shop
7165,lSVri_7165,Escanaba,"Chinese, Bakery, BBQ",11,0.0,Prakash Sweets
4127,Ou3vw_4127,Gunnison,"Tea, Pizza, Italian",12,2.9,Shree Meenakshi Dosai
249,56r5K_249,Fort Lauderdale,"Desserts, Mexican, Fast Food, Cafe, Seafood",12,4.5,Hickory Park
7637,cSX0H_7637,Johnstown,"Tea, Desserts",12,3.0,Lajawab Chinese Food
4237,bwNtH_4237,Latrobe,"Bakery, Mexican, BBQ",12,3.2,Kadimi Dukan
3351,zk43X_3351,Reno,"Pizza, French, Bakery, BBQ, Fast Food",12,3.6,Maharashtra Food Stall
8868,ukjGF_8868,Petersburg,"Cafe, Pizza, Fast Food",12,2.9,Hot & Spicy
8748,diL4r_8748,West Yellowstone,"French, BBQ, Cafe",12,2.3,Chawla's宊
4374,fxfbB_4374,Latrobe,"Pizza, Seafood",12,3.6,Cafe 27
1593,Oiy7X_1593,Minot,"Tea, Italian, French, BBQ, Bakery, Cafe",12,3.2,French Omelette
6634,Hnbgh_6634,Salina,"Tea, Pizza, French, BBQ, Fast Food, American",12,3.4,Crave Busters
8317,XonD1_8317,Orlando,"Tea, Pizza, French, BBQ, Bakery",12,2.5,Domino's Pizza
4385,rfx1m_4385,Pasco,"Cafe, Mexican, Bakery",12,0.0,Moriarty Delivers
1711,9TAHL_1711,Decatur,"Desserts, Tea, Italian, Fast Food, Indian",12,2.3,Viva Hyderabad
1046,53g1y_1046,Hattiesburg,"Tea, French, Fast Food, Italian",12,3.0,Cravings
8915,nym8e_8915,Kodiak,"Tea, Mexican, BBQ, American, Seafood",12,0.0,Shama Chicken Corner
6308,3mCuC_6308,Yakima,"Tea, French, Bakery, Fast Food",12,0.0,Dinesh Meat Wala
4888,Kg88W_4888,Binghamton,"French, Cafe, Seafood",12,3.1,Punjabi Chaap Corner
4109,zkfig_4109,Devils Lake,"Cafe, Bakery, American, Fast Food",12,3.3,Kings Kulfi
8933,owX8p_8933,Kodiak,"Pizza, Desserts",12,0.0,The Square Meal
8279,pSdeY_8279,St. Cloud,"Tea, Chinese, Cafe",12,2.4,The Cake Expert's
8266,capqE_8266,Atlantic City,"Tea, French, BBQ, Fast Food, Chinese, Seafood",12,0.0,Lassilo
658,MRRvh_658,Fort Smith,"Seafood, Fast Food",12,4.0,Cafe Alfresco
4954,oUZwI_4954,Denver,"Tea, Bakery, BBQ, Fast Food",12,2.1,Nathu's Sweets
9151,PH4xz_9151,Greenville,"Cafe, Mexican, Bakery",12,3.5,Rendezvous Cafe Restaurant
6408,DJwUK_6408,Ketchikan,"French, BBQ, Cafe, Italian",12,3.3,Kumar Pastry Shop
9237,kwKCA_9237,Pocatello,"BBQ, Desserts",12,3.7,Pizzeria Vaatika Cafe
499,fj9Ay_499,Sitka,"Cafe, Mediterranean, Desserts, Seafood",12,4.1,Ceviche Tapas Bar & Restaurant
8328,oKmQV_8328,Santa Fe,"Desserts, Mexican, Bakery, BBQ, Fast Food, American",12,0.0,Cafe Coffee Day
5688,SfvNg_5688,Dodge City,"Cafe, Bakery, BBQ, Seafood",12,0.0,Laxmi Food Corner
4704,peGYZ_4704,Washington,"Cafe, Mexican, Fast Food",12,3.1,Moradabadi Biryani
288,D3t2Q_288,Pensacola,"Chinese, BBQ, Desserts",12,3.7,Watershed Cafe
7578,tp8PS_7578,Kansas City,"Bakery, Seafood",12,3.5,Roti N Boti
1645,umvpu_1645,Santa Fe,"Desserts, Fast Food",12,3.2,Chawla Bakers
2978,WPIoV_2978,Myrtle Beach,"Desserts, Tea, American, Bakery, Indian, Seafood",12,0.0,The Night Owl
2972,CvWfE_2972,Sacramento,"Tea, Pizza, Fast Food",12,3.6,Gujarati Samaj Santushti
3007,5DSya_3007,Sioux City,"Cafe, Seafood, Italian",12,3.3,Indian Coffee House
3277,vO7zf_3277,Charlottesville,"French, Pizza, Seafood",12,2.8,Blue Bull Cafe
7570,ey4RZ_7570,Savannah,"Tea, Seafood",12,3.4,New Raj Kachori Bhandar
7371,FrSsv_7371,Yakima,"Fast Food, French, Indian, Seafood",12,3.2,Haowin
6746,NdYXm_6746,Champaign,"Desserts, Pizza, Italian, Cafe, Indian, Seafood",12,3.5,BTW
1799,LCDrw_1799,San Luis Obispo,"Pizza, Seafood",12,0.0,Modern Sweets
8364,N5H74_8364,Lewiston,"Desserts, French, Cafe, Mediterranean, Seafood",12,3.0,The Cake Xpress
275,Xlsr2_275,Memphis,"Tea, Pizza, Bakery, Seafood",12,3.5,Champps Americana
8765,JMRrf_8765,Bozeman,"Pizza, Mexican, Bakery, BBQ, Chinese, Seafood",12,3.7,Dietwholic
2950,DnR3d_2950,Grand Junction,"Tea, Pizza, Indian, Fast Food",12,0.0,Baba Chicken Ludhiana Wale
3295,3B2ju_3295,Jamestown,"Pizza, French, Bakery, BBQ, Cafe",12,3.2,Mughlai Flavours
8894,jH0Sv_8894,Boise,"Tea, Pizza, BBQ, American, Mediterranean",12,0.0,Aggarwal Bikaneri Sweets & Restaurant
9525,ornrm_9525,Sault Ste. Marie,"Tea, Cafe, Pizza, Indian",12,4.4,Cafemiz
8886,9HzXL_8886,Mosinee,"Tea, Indian, Desserts",12,2.9,The Chaiwalas
6403,69B79_6403,Baton Rouge,"Tea, American, Cafe, Indian, Seafood",12,3.2,Food Plaza
5470,LZ35R_5470,Birmingham,"Mexican, BBQ, Fast Food",12,3.2,Frontier
7357,yAcxn_7357,Valdosta,"Mexican, Bakery, Seafood",12,0.0,Republic of Chicken
4306,AfGO8_4306,Buffalo,"Bakery, BBQ, Fast Food",12,3.9,Lutyens Cocktail House
4158,oHpZz_4158,Moab,"Pizza, BBQ, Cafe, Indian, Seafood",12,3.4,Jawahar Hotel
6060,gaf1S_6060,Midland,"Cafe, Mexican, Bakery, Chinese, Seafood",12,0.0,Metro Bar & Family Restaurant
8487,wLqS4_8487,Duluth,"Cafe, Pizza",12,3.0,Uncle's JVCC Restaurant
2996,jn0id_2996,Austin,"Cafe, Bakery, BBQ, Fast Food",12,3.7,Moksha
3095,UKu5m_3095,Des Moines,"French, Seafood, Desserts, Fast Food",12,4.1,Barbeque Nation
5221,6V8Kf_5221,Arcata,"Mexican, Bakery, BBQ, Fast Food, Seafood",12,3.0,Pizza Treat
6170,2HtWH_6170,Pasco,"Tea, BBQ, Fast Food, Chinese, Indian",12,3.3,Cafe Coffee Day
3385,GmgJJ_3385,Harlingen,"Cafe, Mexican, Pizza, BBQ",12,2.6,Urban Chopstick
7775,wF9xn_7775,Billings,"Bakery, American, Cafe",12,2.8,Aggarwal Confectionary
8600,0yJns_8600,Reno,"Desserts, Pizza, French, BBQ, Fast Food",12,0.0,Sugar Ruffles
8714,i7VV7_8714,Ithaca,"Pizza, Mediterranean, Desserts",12,0.0,Kitchen Express
183,Nnunj_183,Baton Rouge,"Tea, American, BBQ, Fast Food",12,4.2,Jimmy Jack's Rib Shack
2270,cZR6w_2270,Corpus Christi,"Tea, Cafe, BBQ, Bakery, Chinese, Mediterranean",12,3.5,Alwar Sweets
4852,FLs2O_4852,Kodiak,"Chinese, Mexican, BBQ, Fast Food",12,0.0,New Anna Ka Dosa
3830,dxgYz_3830,Sioux City,"Bakery, Pizza, Italian",12,3.3,Ministry of Cafe
6320,GgrPz_6320,Pellston,"Fast Food, French, Seafood",12,3.0,Cholkat
6987,j9cC2_6987,Manchester,"Desserts, Tea, Pizza, Bakery, American",12,3.0,NCR Cafe 
4636,r1YKc_4636,Paducah,"Tea, Bakery, BBQ, Fast Food, Chinese",12,3.2,Prabhu Chaat Bhandar
6996,x9j8z_6996,Durango,"Seafood, Mexican, Desserts, Fast Food",12,3.4,Wow! Momo
4841,yk3dL_4841,Santa Rosa,"Pizza, Mexican, BBQ, Fast Food, American",12,0.0,Chicken King
2315,RVVlZ_2315,Helena,"Fast Food, American, BBQ, Seafood",12,4.7,Churrolto
4631,5oy4q_4631,Louisville,"Desserts, Tea, Bakery, Fast Food, Chinese",12,4.5,Zaffran
8006,AGu80_8006,Tucson,"Cafe, Bakery, Fast Food",12,2.7,Uraki
6566,bRNAn_6566,Gainesville,"Tea, Pizza, French, BBQ, Indian, Seafood",12,3.0,iGNiTE
2331,d8t5E_2331,Cedar Rapids,"Tea, BBQ, Desserts",12,3.8,Cafe Yolo
2630,MqXzm_2630,Daytona Beach,"Tea, BBQ, Mediterranean, Fast Food",12,3.5,Punjabi By Nature Express
160,qNAnO_160,Aberdeen,"Desserts, Tea, Pizza, French, Fast Food",12,4.1,Shige Japanese Cuisine
7813,iJzhF_7813,State College,"BBQ, Desserts, Seafood",12,0.0,Hyderabad's Delight
2367,Ow7te_2367,Ithaca,"Chinese, Pizza, BBQ",12,4.1,Little Chef
111,jBRHD_111,Bakersfield,"Chinese, Pizza, Bakery",12,4.1,DePalma's Italian Cafe - East Side
3593,6OtPt_3593,Rhinelander,"Desserts, French, BBQ, Bakery, Mediterranean",12,3.7,Sweet & Crusty - Eros Hotel
8799,2B44u_8799,Jamestown,"French, BBQ, Bakery, Fast Food, Cafe, Mediterranean",12,0.0,Bake Walkers
6144,BUoPU_6144,Tampa,"Chinese, Bakery, Pizza",12,4.4,Gulati
5057,vOiVW_5057,Sarasota,"Desserts, Seafood",12,0.0,Cafe Highway
125,Rb9V0_125,Santa Ana,"Cafe, Pizza, Desserts, Seafood",12,4.5,The Bee's Knees
797,ihPYZ_797,Watertown,"Desserts, Tea, Fast Food, Chinese, Mediterranean",12,4.1,Nik Baker's
7867,jEN9I_7867,Saginaw,"Tea, Chinese, Mexican, Fast Food",12,4.0,Wake 'n' Bake Cafe
8818,xTuDz_8818,Staunton,"Desserts, Mexican, Bakery, BBQ, Fast Food",12,0.0,Twenty Four Seven
